hub_id,hub_name,vehicle_id,delivery_sequence,order_id,route_distance_km,route_load_kg
5,Hub_Tan_Cang,7,2,184,0.31,19.73
5,Hub_Tan_Cang,8,1,169,0.0,8.52
5,Hub_Tan_Cang,9,1,207,0.0,15.73
5,Hub_Tan_Cang,10,1,224,0.49,18.21
5,Hub_Tan_Cang,10,2,231,0.49,18.21
5,Hub_Tan_Cang,11,1,244,9.44,20.23
5,Hub_Tan_Cang,11,2,280,9.44,20.23
5,Hub_Tan_Cang,11,3,294,9.44,20.23
5,Hub_Tan_Cang,11,4,258,9.44,20.23
5,Hub_Tan_Cang,11,5,242,9.44,20.23
5,Hub_Tan_Cang,11,6,227,9.44,20.23
5,Hub_Tan_Cang,11,7,279,9.44,20.23
5,Hub_Tan_Cang,11,8,269,9.44,20.23
5,Hub_Tan_Cang,12,1,245,0.0,18.9
5,Hub_Tan_Cang,13,1,250,0.0,19.86
5,Hub_Tan_Cang,14,1,254,0.0,18.23
5,Hub_Tan_Cang,15,1,255,0.62,19.71
5,Hub_Tan_Cang,15,2,247,0.62,19.71
5,Hub_Tan_Cang,15,3,283,0.62,19.71
5,Hub_Tan_Cang,16,1,257,0.0,18.66
5,Hub_Tan_Cang,17,1,262,0.0,18.42
5,Hub_Tan_Cang,18,1,232,0.26,15.71
5,Hub_Tan_Cang,18,2,226,0.26,15.71
5,Hub_Tan_Cang,19,1,274,0.6,19.39
5,Hub_Tan_Cang,19,2,252,0.6,19.39
5,Hub_Tan_Cang,19,3,271,0.6,19.39
5,Hub_Tan_Cang,20,1,221,0.84,5.69
5,Hub_Tan_Cang,20,2,276,0.84,5.69
5,Hub_Tan_Cang,21,1,248,1.04,16.3
5,Hub_Tan_Cang,21,2,297,1.04,16.3
5,Hub_Tan_Cang,21,3,260,1.04,16.3
5,Hub_Tan_Cang,21,4,296,1.04,16.3
5,Hub_Tan_Cang,22,1,212,0.66,17.17
5,Hub_Tan_Cang,22,2,251,0.66,17.17
5,Hub_Tan_Cang,22,3,211,0.66,17.17
5,Hub_Tan_Cang,23,1,249,3.13,19.63
5,Hub_Tan_Cang,23,2,259,3.13,19.63
5,Hub_Tan_Cang,23,3,275,3.13,19.63
5,Hub_Tan_Cang,23,4,289,3.13,19.63
5,Hub_Tan_Cang,23,5,253,3.13,19.63
5,Hub_Tan_Cang,23,6,272,3.13,19.63
5,Hub_Tan_Cang,23,7,284,3.13,19.63
5,Hub_Tan_Cang,24,1,265,4.2,20.38
5,Hub_Tan_Cang,24,2,216,4.2,20.38
5,Hub_Tan_Cang,24,3,285,4.2,20.38
5,Hub_Tan_Cang,24,4,219,4.2,20.38
5,Hub_Tan_Cang,24,5,241,4.2,20.38
5,Hub_Tan_Cang,25,1,230,0.5,19.7
5,Hub_Tan_Cang,25,2,288,0.5,19.7
5,Hub_Tan_Cang,25,3,223,0.5,19.7
5,Hub_Tan_Cang,26,1,290,0.68,19.72
5,Hub_Tan_Cang,26,2,235,0.68,19.72
5,Hub_Tan_Cang,26,3,240,0.68,19.72
5,Hub_Tan_Cang,27,1,291,1.91,20.32
5,Hub_Tan_Cang,27,2,236,1.91,20.32
5,Hub_Tan_Cang,27,3,286,1.91,20.32
5,Hub_Tan_Cang,27,4,281,1.91,20.32
5,Hub_Tan_Cang,27,5,261,1.91,20.32
5,Hub_Tan_Cang,28,1,292,3.33,19.6
5,Hub_Tan_Cang,28,2,225,3.33,19.6
5,Hub_Tan_Cang,28,3,282,3.33,19.6
5,Hub_Tan_Cang,28,4,264,3.33,19.6
5,Hub_Tan_Cang,28,5,270,3.33,19.6
5,Hub_Tan_Cang,28,6,215,3.33,19.6
5,Hub_Tan_Cang,28,7,237,3.33,19.6
5,Hub_Tan_Cang,28,8,268,3.33,19.6
5,Hub_Tan_Cang,29,1,222,1.47,17.97
5,Hub_Tan_Cang,29,2,220,1.47,17.97
5,Hub_Tan_Cang,29,3,263,1.47,17.97
5,Hub_Tan_Cang,29,4,293,1.47,17.97
5,Hub_Tan_Cang,30,1,213,0.67,17.77
5,Hub_Tan_Cang,30,2,266,0.67,17.77
5,Hub_Tan_Cang,30,3,256,0.67,17.77
5,Hub_Tan_Cang,30,4,299,0.67,17.77
5,Hub_Tan_Cang,31,1,238,1.05,18.84
5,Hub_Tan_Cang,31,2,287,1.05,18.84
5,Hub_Tan_Cang,31,3,246,1.05,18.84
5,Hub_Tan_Cang,31,4,298,1.05,18.84
5,Hub_Tan_Cang,32,1,277,1.95,20.12
5,Hub_Tan_Cang,32,2,300,1.95,20.12
5,Hub_Tan_Cang,32,3,217,1.95,20.12
5,Hub_Tan_Cang,32,4,243,1.95,20.12
5,Hub_Tan_Cang,32,5,278,1.95,20.12
5,Hub_Tan_Cang,32,6,295,1.95,20.12
5,Hub_Tan_Cang,32,7,239,1.95,20.12
