order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
12,1,nearest,Off-Peak,Road + Waterbus,0.8577,0.4289,1286.56,0.0515,road
12,1,nearest,Off-Peak,Full Multimodal,0.8577,0.4289,1286.56,0.0515,road
12,1,nearest,Peak,Road Only,2.1443,0.4289,1286.56,0.0515,road
12,1,nearest,Peak,Road + Metro,2.1443,0.4289,1286.56,0.0515,road
12,1,nearest,Peak,Road + Waterbus,2.1443,0.4289,1286.56,0.0515,road
12,1,nearest,Peak,Full Multimodal,2.1443,0.4289,1286.56,0.0515,road
12,1,centralized,Off-Peak,Central Road Only,0.8577,0.4289,1286.56,0.0515,road
12,1,centralized,Off-Peak,Central Road + Metro,0.8577,0.4289,1286.56,0.0515,road
12,1,centralized,Off-Peak,Central Road + Waterbus,0.8577,0.4289,1286.56,0.0515,road
12,1,centralized,Off-Peak,Central Full Multimodal,0.8577,0.4289,1286.56,0.0515,road
12,1,centralized,Peak,Central Road Only,2.1443,0.4289,1286.56,0.0515,road
12,1,centralized,Peak,Central Road + Metro,2.1443,0.4289,1286.56,0.0515,road
12,1,centralized,Peak,Central Road + Waterbus,2.1443,0.4289,1286.56,0.0515,road
12,1,centralized,Peak,Central Full Multimodal,2.1443,0.4289,1286.56,0.0515,road
13,1,nearest,Off-Peak,Road Only,1.9641,0.982,2946.12,0.1178,road
13,1,nearest,Off-Peak,Road + Metro,1.9641,0.982,2946.12,0.1178,road
13,1,nearest,Off-Peak,Road + Waterbus,1.9641,0.982,2946.12,0.1178,road
13,1,nearest,Off-Peak,Full Multimodal,1.9641,0.982,2946.12,0.1178,road
13,1,nearest,Peak,Road Only,4.9102,0.982,2946.12,0.1178,road
13,1,nearest,Peak,Road + Metro,4.9102,0.982,2946.12,0.1178,road
13,1,nearest,Peak,Road + Waterbus,4.9102,0.982,2946.12,0.1178,road
13,1,nearest,Peak,Full Multimodal,4.9102,0.982,2946.12,0.1178,road
13,1,centralized,Off-Peak,Central Road Only,1.9641,0.982,2946.12,0.1178,road
13,1,centralized,Off-Peak,Central Road + Metro,1.9641,0.982,2946.12,0.1178,road
13,1,centralized,Off-Peak,Central Road + Waterbus,1.9641,0.982,2946.12,0.1178,road
13,1,centralized,Off-Peak,Central Full Multimodal,1.9641,0.982,2946.12,0.1178,road
13,1,centralized,Peak,Central Road Only,4.9102,0.982,2946.12,0.1178,road
13,1,centralized,Peak,Central Road + Metro,4.9102,0.982,2946.12,0.1178,road
13,1,centralized,Peak,Central Road + Waterbus,4.9102,0.982,2946.12,0.1178,road
13,1,centralized,Peak,Central Full Multimodal,4.9102,0.982,2946.12,0.1178,road
15,1,nearest,Off-Peak,Road Only,1.8658,0.9329,2798.65,0.1119,road
15,1,nearest,Off-Peak,Road + Metro,1.8658,0.9329,2798.65,0.1119,road
15,1,nearest,Off-Peak,Road + Waterbus,1.8658,0.9329,2798.65,0.1119,road
15,1,nearest,Off-Peak,Full Multimodal,1.8658,0.9329,2798.65,0.1119,road
15,1,nearest,Peak,Road Only,4.6644,0.9329,2798.65,0.1119,road
15,1,nearest,Peak,Road + Metro,4.6644,0.9329,2798.65,0.1119,road
15,1,nearest,Peak,Road + Waterbus,4.6644,0.9329,2798.65,0.1119,road
15,1,nearest,Peak,Full Multimodal,4.6644,0.9329,2798.65,0.1119,road
15,1,centralized,Off-Peak,Central Road Only,1.8658,0.9329,2798.65,0.1119,road
15,1,centralized,Off-Peak,Central Road + Metro,1.8658,0.9329,2798.65,0.1119,road
15,1,centralized,Off-Peak,Central Road + Waterbus,1.8658,0.9329,2798.65,0.1119,road
15,1,centralized,Off-Peak,Central Full Multimodal,1.8658,0.9329,2798.65,0.1119,road
